Title,Review_Date,Author,Rating,Review_Title,Review,Review_Url
Abraham Lincoln Vampire Hunter,24 September 2017,TheOneThatYouWanted,10," What's wrong with you people? This was awesome!
","This film is freaking awesome, fun and a great time! Why in the heck does it have below a 6/10 on here? Are people seriously stupid enough to think that this piece of entertainment and satire is honestly depicting historical events in full or semi-full accuracy? What's wrong with you people? No really. Someone message me and explain the massive hate around this because I can not see what is wrong. This is pure fiction. Is there something disrespectful here that I am missing? Anyway, this is a fun piece of fiction with mostly great action, good acting and a great script. The film moves along nicely and there is never a dull moment. It is a 7/10 kind of film but I'm going to give it a 10/10 to offset the madness.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,20 May 2021,EmmeCHammer,10," Gem, hidden that is
","I saw this movie when it first came out not in the theater, but on my HiDef 72inch brand spanking new TV. I avoided it in the theater because I said to myself that sounds like a stupidly named movie, but I do watch them all eventually on DVD or demand or some way or another, a movie addiction, a healthy addiction at that. Boy was I wrong I fell in love with this flick, and have seen it many many times and have it in my collection. It's cinematography, its acting, action, and story is great. I watched it this afternoon and thought I never reviewed it and gave it a 10 to help raise its rating a little, this is definitely not for everyone but for a great 2 hour ride of action and beautiful made movie its a hidden gem for me. Great cast and cuts no corners, don't be off put by the title, if you like vampire movies it's a must!",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,22 June 2012,neil-476,8," A complete hoot
","As a Brit, my knowledge of Abraham Lincoln is limited to stovepipe hat and beard, the Civil War, abolition of slavery, and assassination at the theatre by John Wilkes Booth. I had absolutely no idea that he had enjoyed a career (prior to his entry into politics) as a vampire slayer, nor that there had been a large contingent of vampires within the Confederate army. Thank heavens Lincoln left behind his notebook, or we'd never have known.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,12 June 2021,bhester0806,10," Ignore ignore ignore the low rating. This is a well worth while film!
","This is a great, one of the best, vampire movies. It webs just enough history into it to keep it grounded besides being an obvious fictional movie.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,3 April 2014,Prismark10,6," Kick ass Lincoln
","This is what a comedy-action-horror should be like. A preposterous idea mixed with some drama, wit, scares and decent enough CGI. Because of events he saw as a child Lincoln trains to become a vampire hunter with the assistance of Dominic Cooper.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,25 October 2012,bob-rutzel-1,7," Surprisingly good, great CGI
","Supposedly, the beginnings of Vampires in America and a story about Honest Abe (Benjamin Walker) as he hunts them down before becoming our 16th president. ",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,15 October 2012,the_real_smile,10," Top notch A grade horror adventure
","Well, well, well, what a surprise. From the name ""Abraham Lincoln: Vampire Hunter"" you might expect (as I did) some B grade movie where the name Abraham Lincoln was used to attract attention. And there are the reviews that speak absolute horror of this movie. But nothing would be more from the truth, this movie is a fantastic thrill ride with excellent directing, very, very good camera work en good acting. Even the CGI was incredible, there is a chase scene with horses that really blows your mind, not to mention the bridge scene. The movie is even historically correct at 56:38!! I even dare to say this movie is one for the classics.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,1 September 2013,SnoopyStyle,6," The Title says it all
","The title says it all. You get not just the plot, but the style and the tone. Abraham Lincoln (Benjamin Walker) is not only a vampire hunter, but his life has been defined by vampires for a long time. His mother was killed by a vampire. As a young man, he tries to seek revenge but fails. But in the process, he meets Henry Sturgess (Dominic Cooper) who teaches him how to kill a vampire. During the Civil War as President of the United States, he comes to realize that vampires are fighting with the Confederate forces. As a result he mounts his own campaign to defeat them.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,23 June 2012,DoctorRabbit,8," A Fun Action Flick That Delivers On Exactly What It Promises
","Abraham Lincoln: Vampire Hunter is exactly what you would expect from the title. A ridiculous, over-the-top, and fun action-horror flick. The serious tone and silly premise may turn off some people, but the serious tone actually works to the films advantage and actually made the movie more fun. I actually think a goofy and comedic tone could've hurt the films in some ways by being a bit too tongue and cheek. The action scenes were well done and incredibly entertaining to watch. The final action scene was actually worth the price of admission alone. I also enjoyed how they included actual parts of Lincoln's history into the film. Benjamin Walker also surprisingly did a good job as Lincoln. The dialogue is corny but I actual think that played as a strength to a film rather than a weakness. The 3D effects are also used very well in the film and delivers a good mix of depth and gimmicky moments and really enhanced the action sequences. I would highly recommend seeing the film in 3D if you have the option. If I had any complaints it would be that I did feel like the film dragged a bit in the middle.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,22 October 2012,udoricht,7," What did you expect to see more?
","If you take this movie so serious you'll be disappointed 'cause it's not. But if you take it as fun movie, fulled of action/fantasy/horror scenes and as what it is then you can give it a chance. Maybe, the character of Abraham Lincoln defined as vampire slayer is naive and childish and is not what you expected to see for historical important figure. Maybe someone thinks that this is disgrace for the character. And finally maybe someone thinks there is a storyline abstraction 'cause the book is better and I don't doubt that even I haven't read it. All this defects are not so important if you like movies in this kind of genre like Underworld, Resident Evil etc. This was a movie that deserves attention and give it a try.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,28 November 2012,toqtaqiya2,8," A terrific action summer movie with a fresh visual style.
","After watching Abraham Lincoln: Vampire Hunter at home I asked myself why I didn't go to see it in a movie theater during the summer. I should have but I guess the reason was that I thought the premise was silly. Too bad because this is a terrific action film. It's very entertaining but I stress that it's not dumb. All the actors deliver good performances. Benjamin Walker creates a fantastic hero in Abraham Lincoln, a secret vampire hunter and the 16th President of the United States. Walker is good in the action scenes as well as at delivering Lincoln's historic lines. He begins hunting vampires as a young man with the assistance of his mentor Henry Sturges (Dominic Cooper). Mary Elizabeth Winstead plays Lincoln's wife Mary Todd and Anthony Mackie plays his closest friend William Johnson. Rufus Sewell as Adam is the film's main antagonist, a powerful vampire with an interesting story. The film is based on Seth Grahame-Smith's mashup novel of the same name. It plays very much like a comic book movie, and it takes liberties with the facts of Lincoln's life while poking fun at some of them. Director Timur Bekmambetov has a talent for creating impressive visuals, but here with the assistance of cinematographer Caleb Deschanel the look of the film is often stunning. The scene in which Lincoln fights Jack Barts on horseback at sunset is just one amazing highlight. Abraham Lincoln: Vampire Hunter earned almost twice its budget at the box office but it should have been a bigger hit. It's serious fantasy horror. I won't be surprised if it becomes a cult movie. It's one of the best films of 2012, and I definitely recommend seeing it.",/review/rw2690391/?ref_=tt_urv
Abraham Lincoln Vampire Hunter,20 June 2012,aaronjbong,7," A Different Side of Abraham Lincoln
","When I discovered this movie, skepticism washed over me. I mean, Abraham Lincoln as a vampire hunter? Having one of the greatest presidents of all time as the character of a vampire hunter would be the last thing anyone would expect. When I entered the theater, my initial thought was that this movie would bring me disappointment. But it turned out to be much better than expected and a fun film filled with lots of violence, blood, gore, and vampire decapitations.",/review/rw2690391/?ref_=tt_urv
