Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
New Amsterdam,(2018–2023),Drama,A new medical director breaks the rules to heal the system at America's oldest public hospital.,"https://m.media-amazon.com/images/M/MV5BNDEyZGJkZmUtYjk1My00MzNjLThmNDQtZThlYmIyZmFmMDIyXkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",7817340,https://www.imdb.com/title/tt7817340/,43 min,Not Rated,"44,918",8.0
Bad Sisters,(2022– ),"Comedy,Drama,Thriller",The Garvey sisters are bound together by their parents' deaths and a promise to always protect one another.,"https://m.media-amazon.com/images/M/MV5BNjc2ZWY3NjYtM2Q5OS00YTI1LTk5MDktYjYwYTk2Yzc4YTc4XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX280_CR0,3,280,414_.jpg",15469618,https://www.imdb.com/title/tt15469618/,53 min,A,"25,559",8.3
Charmed,(1998–2006),"Drama,Fantasy,Mystery","Three Halliwell sisters discover that they are descendants of a line of good female witches and are destined to fight against the forces of evil, using their combined power of witchcraft known as the ""Power of Three"".","https://m.media-amazon.com/images/M/MV5BNTIxNmUxMWQtNjc0Yy00NjM2LWFjMTMtNjA2MmEzOTFiMWRmXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_QL75_UX280_CR0,3,280,414_.jpg",0158552,https://www.imdb.com/title/tt0158552/,42 min,U,"87,169",7.1
Star Trek Into Darkness,(2013),"Action,Adventure,Sci-Fi","After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.","https://m.media-amazon.com/images/M/MV5BMTk2NzczOTgxNF5BMl5BanBnXkFtZTcwODQ5ODczOQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1408101,https://www.imdb.com/title/tt1408101/,132 min,UA,"489,386",7.7
The Northman,(2022),"Action,Adventure,Drama",A young Viking prince is on a quest to avenge his father's murder.,"https://m.media-amazon.com/images/M/MV5BMzVlMmY2NTctODgwOC00NDMzLWEzMWYtM2RiYmIyNTNhMTI0XkEyXkFqcGdeQXVyNTAzNzgwNTg@._V1_QL75_UX280_CR0,3,280,414_.jpg",11138512,https://www.imdb.com/title/tt11138512/,137 min,R,"228,278",7.0
Monk,(2002–2009),"Comedy,Crime,Drama","The series follows Adrian Monk, a brilliant former San Francisco detective, who now consults the police as a private consultant who battles with an obsessive-compulsive disorder.","https://m.media-amazon.com/images/M/MV5BM2M4NjM0N2QtMDlmNi00NzNkLWEyYjItOTczMjk1ZjU2NDdiXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_QL75_UX280_CR0,3,280,414_.jpg",0312172,https://www.imdb.com/title/tt0312172/,44 min,NA,"78,705",8.0
Bodies Bodies Bodies,(2022),"Comedy,Horror,Thriller","When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.","https://m.media-amazon.com/images/M/MV5BYTA2ODg5ZjgtOTU2My00MzFkLWI0NzMtZmQ5MmRhMWU1NzhlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX280_CR0,3,280,414_.jpg",8110652,https://www.imdb.com/title/tt8110652/,94 min,13,"50,654",6.2
Father Brown,(2013– ),"Crime,Drama,Mystery","In the early 1950s, Father Brown, a Roman Catholic priest based in the fictional Cotswold village of Kembleford, uses his distinctive skills to solve various crimes.","https://m.media-amazon.com/images/M/MV5BYzRkMTg4NzEtNzJkNS00Y2UxLTg1ZTYtNTc1YjBlN2YzYjI3XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_QL75_UX280_CR0,3,280,414_.jpg",2215842,https://www.imdb.com/title/tt2215842/,52 min,NA,"13,120",7.8
Valerian and the City of a Thousand Planets,(2017),"Action,Adventure,Fantasy","A dark force threatens Alpha, a vast metropolis and home to species from a thousand planets. Special operatives Valerian and Laureline must race to identify the marauding menace and safeguard not just Alpha, but the future of the universe.","https://m.media-amazon.com/images/M/MV5BMTkxMDAxNDUyNV5BMl5BanBnXkFtZTgwOTc3MzcxMjI@._V1_QL75_UX280_CR0,3,280,414_.jpg",2239822,https://www.imdb.com/title/tt2239822/,136 min,UA,"188,610",6.4
The Leftovers,(2014–2017),"Drama,Fantasy,Mystery","Three years after the disappearance of 2% of the global human population, a group of people in a small New York community try to continue their lives while coping with the tragedy of the unexplained nature of the event.","https://m.media-amazon.com/images/M/MV5BNTE3MDc1MjY4NV5BMl5BanBnXkFtZTgwMDg4MjQ4MTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",2699128,https://www.imdb.com/title/tt2699128/,60 min,A,"104,327",8.3
